baseline_unet pd,train on 64 examples test on 199 val examples,,,,,
x4,PD,9.499e-11 +/- 1.592e-10,0.008633 +/- 0.005819,35.53 +/- 3.631,0.9071 +/- 0.05413,0.0047
x4,PDFS,1.578e-11 +/- 5.663e-11,0.01576 +/- 0.04351,35.25 +/- 4.792,0.8512 +/- 0.1273,0.0024
x8,PD,2.332e-10 +/- 3.882e-10,0.02057 +/- 0.01213,31.73 +/- 3.391,0.856 +/- 0.06825,0.0092
x8,PDFS,2.597e-11 +/- 7.06e-11,0.0252 +/- 0.04631,32.98 +/- 4.334,0.8097 +/- 0.1356,0.0043
,,,,,,
,,,,,,
baseline_unet pdfs,train on 64 examples test on 20 val examples,,,,,
x4,PD,5.693e-11 +/- 7.386e-11 ,0.007545 +/- 0.004661,35.7 +/- 5.079,0.9041 +/- 0.06301,
x4,PDFS,1.375e-11 +/- 1.862e-11 ,0.0156 +/- 0.01519,34.66 +/- 4.629,0.8303 +/- 0.165,
x8,PD,1.44e-10 +/- 2.167e-10 ,0.01807 +/- 0.01062,31.88 +/- 4.533,0.8541 +/- 0.0788,
x8,PDFS,2.208e-11 +/- 2.738e-11 ,0.02442 +/- 0.01221,32.53 +/- 2.657,0.7843 +/- 0.1656,
,,,,,,
baseline_unet pdfs,train on 64 examples test on 199 val examples,,,,,
x4,PD,9.026e-11 +/- 1.464e-10 ,0.00825 +/- 0.005189,35.72 +/- 3.574,0.9092 +/- 0.05276,
x4,PDFS,1.422e-11 +/- 3.185e-11 ,0.01442 +/- 0.01933,35.33 +/- 4.474,0.8523 +/- 0.1262,
x8,PD,2.225e-10 +/- 3.726e-10 ,0.01962 +/- 0.01172,31.93 +/- 3.407,0.8593 +/- 0.0676,
x8,PDFS,2.366e-11 +/- 4.807e-11 ,0.02322 +/- 0.01979,33.13 +/- 4.005,0.8116 +/- 0.1349,
,,,,,,
,,,,,,
baseline_unet pd,train on 128 examples test on 20 val examples,,,,,
x4,PD,5.423e-11 +/- 6.699e-11,0.007314 +/- 0.004762,35.86 +/- 5.212,0.9055 +/- 0.06364,0.004
x4,PDFS,1.364e-11 +/- 1.658e-11,0.0155 +/- 0.01243,34.61 +/- 4.233,0.8291 +/- 0.1641,
x8,PD,1.44e-10 +/- 2.167e-10,0.01807 +/- 0.01062,31.88 +/- 4.533,0.8541 +/- 0.0788,0.004
x8,PDFS,2.208e-11 +/- 2.738e-11,0.02442 +/- 0.01221,32.53 +/- 2.657,0.7843 +/- 0.1656,0.002
,,,,,,
baseline_unet pd,train on 128 examples test on 199 val examples,,,,,
x4,PD,8.787e-11 +/- 1.483e-10,0.00799 +/- 0.005316,35.87 +/- 3.664,0.911 +/- 0.05342,0.003
x4,PDFS,1.513e-11 +/- 4.704e-11,0.01515 +/- 0.03425,35.31 +/- 4.698,0.8514 +/- 0.1269,0.0002
x8,PD,2.146e-10 +/- 3.543e-10,0.01909 +/- 0.01201,32.07 +/- 3.448,0.8616 +/- 0.06716,0.005
x8,PDFS,2.498e-11 +/- 5.862e-11,0.02443 +/- 0.03318,33.01 +/- 4.188,0.8097 +/- 0.1353,

,,,,,,
baseline_unet pdfs,train on 128 examples test on 20 val examples,,,,,
x4, PD,1.113e-10 +/- 1.961e-10 ,0.01276 +/- 0.006801, 33.36 +/- 5.044,0.8656 +/- 0.0713
x4, PDFS,1.442e-11 +/- 1.827e-11 ,0.01616 +/- 0.01286, 34.43 +/- 4.086,0.8278 +/- 0.1614
x8, PD,2.769e-10 +/- 4.667e-10 ,0.03317 +/- 0.01889, 29.23 +/- 5.128,0.801 +/- 0.09729
x8, PDFS,2.357e-11 +/- 2.952e-11 ,0.02605 +/- 0.01392, 32.25 +/- 2.413,0.78 +/- 0.1626
,,,,,,
baseline_unet pdfs,train on 128 examples test on 199 val examples,,,,,
x4, PD,1.653e-10 +/- 2.738e-10 ,0.01424 +/- 0.008529, 33.31 +/- 3.581,0.8712 +/- 0.05522
x4, PDFS,1.461e-11 +/- 2.924e-11 ,0.01477 +/- 0.01473, 35.13 +/- 4.237,0.8499 +/- 0.1242
x8, PD,4.204e-10 +/- 6.629e-10 ,0.03696 +/- 0.0203, 29.17 +/- 3.459,0.8043 +/- 0.07441
x8, PDFS,2.544e-11 +/- 4.993e-11 ,0.02493 +/- 0.01666, 32.79 +/- 3.833,0.8069 +/- 0.1333

,,,,,,
baseline_unet both,train on 128 examples test on 20 val examples,,,,,
x4,PD,MSE = 1.078e-10 +/- 1.778e-10 NMSE = 0.01269 +/- 0.006283 PSNR = 33.36 +/- 4.854 SSIM = 0.8687 +/- 0.06604
x4,PDFS,MSE = 1.462e-11 +/- 1.925e-11 NMSE = 0.0164 +/- 0.0142 PSNR = 34.39 +/- 4.331 SSIM = 0.8279 +/- 0.1621
x8,PD,MSE = 2.792e-10 +/- 4.886e-10 NMSE = 0.03305 +/- 0.01936 PSNR = 29.26 +/- 5.088 SSIM = 0.8021 +/- 0.09606
x8,PDFS,MSE = 2.352e-11 +/- 2.833e-11 NMSE = 0.02613 +/- 0.01336 PSNR = 32.23 +/- 2.578 SSIM = 0.78 +/- 0.1637
,,,,,,
baseline_unet both,train on 128 examples test on 199 val examples,,,,,
x4,PD,MSE = 1.608e-10 +/- 2.731e-10 NMSE = 0.01374 +/- 0.006695 PSNR = 33.42 +/- 3.384 SSIM = 0.8743 +/- 0.05417
x4, PDFS,MSE = 1.477e-11 +/- 3.096e-11 NMSE = 0.01489 +/- 0.01688 PSNR = 35.13 +/- 4.286 SSIM = 0.8501 +/- 0.1244
x8,PD,MSE = 4.125e-10 +/- 6.536e-10 NMSE = 0.03607 +/- 0.01935 PSNR = 29.27 +/- 3.468 SSIM = 0.8064 +/- 0.07348
x8, PDFS,MSE = 2.561e-11 +/- 5.1e-11 NMSE = 0.02507 +/- 0.01827 PSNR = 32.77 +/- 3.88 SSIM = 0.8068 +/- 0.1338

